PARK,BOROUGH,SIZE (ACRES),CATEGORY,MURDER_q1,RAPE_q1,ROBBERY_q1,FELONY ASSAULT_q1,BURGLARY_q1,GRAND LARCENY_q1,GRAND LARCENY OF MOTOR VEHICLE_q1,TOTAL_q1,MURDER_q2,RAPE_q2,ROBBERY_q2,FELONY ASSAULT_q2,BURGLARY_q2,GRAND LARCENY_q2,GRAND LARCENY OF MOTOR VEHICLE_q2,TOTAL_q2,MURDER_q3,RAPE_q3,ROBBERY_q3,FELONY ASSAULT_q3,BURGLARY_q3,GRAND LARCENY_q3,GRAND LARCENY OF MOTOR VEHICLE_q3,TOTAL_q3,TOTAL,CRIME OR NOT,CRIME OR NOT_q1,CRIME OR NOT_q2,CRIME OR NOT_q3
ROCKAWAY FREEWAY,QUEENS       ,9.40 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
BICENTENNIAL VETERANS MEMORIAL PARK,BRONX        ,9.40 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
SUNSET COVE PARK,QUEENS       ,9.38 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
ST. JOHN'S RECREATION CENTER,BROOKLYN     ,9.34 ,ONE ACRE OR LARGER,0 ,0 ,1 ,1 ,0 ,0 ,0 ,2 ,0,0,1 ,1 ,0,0,0,2 ,0 ,0,2 ,0,0,0,0,2 ,6 ,1 ,1,1,1
LINDEN PARK,BROOKLYN     ,9.32 ,ONE ACRE OR LARGER,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0,0,0,2 ,0,1 ,0,3 ,0 ,0,0,0,0,0,0,0 ,4 ,1 ,1,1,0
HAFFEN PARK,BRONX        ,9.24 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
ALLISON POND PARK,STATEN ISLAND,9.20 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
GRANITEVILLE SWAMP PARK,STATEN ISLAND,9.19 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
TOTTENVILLE SHORE PARK,STATEN ISLAND,9.18 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
CAPTAIN TILLY PARK,QUEENS       ,9.16 ,ONE ACRE OR LARGER,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0,0,1 ,0,0,0,0,1 ,0 ,1 ,1 ,0,0,0,0,2 ,4 ,1 ,1,1,1
HARVEY PARK,QUEENS       ,9.15 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
MSGR. MCGOLRICK PARK,BROOKLYN     ,9.13 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,1 ,0,0,2 ,0,3 ,0 ,0,0,0,0,0,0,0 ,3 ,1 ,0,1,0
BUSHWICK INLET PARK,BROOKLYN     ,9.01 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,1 ,0,1 ,1 ,1 ,0,0,1
HENRY HUDSON PARK,BRONX        ,8.97 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
FRANK PRINCIPE PARK,QUEENS       ,8.90 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
CASTLE HILL PARK,BRONX        ,8.83 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
ROCHDALE PARK,QUEENS       ,8.83 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,1 ,1 ,0,0,0,2 ,2 ,1 ,0,0,1
ABE STARK SKATING RINK,BROOKLYN     ,8.81 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,1 ,0,1 ,0 ,0,0,0,0,0,0,0 ,1 ,1 ,0,1,0
CITY HALL PARK,MANHATTAN    ,8.80 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0,0,0,0,0,1 ,0,1 ,0 ,0,0,0,0,1 ,0,1 ,3 ,1 ,1,1,1
EAST RIVER WATERFRONT ESPLANADE,MANHATTAN    ,8.76 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,1 ,0,1 ,1 ,1 ,0,0,1
CROTONA PARKWAY MALLS,BRONX        ,8.75 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
CONEY ISLAND CREEK PARK,BROOKLYN     ,8.66 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
MILL ROCK PARK,MANHATTAN    ,8.64 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
EAST RIVER ESPLANADE E 90TH ST TO E 125TH ST,MANHATTAN    ,8.60 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
JOHN J CARTY PARK,BROOKLYN     ,8.57 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
COFFEY PARK,BROOKLYN     ,8.27 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,1 ,0,1 ,0 ,0,0,0,0,0,0,0 ,1 ,1 ,0,1,0
BARRETT PARK,STATEN ISLAND,8.11 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
RAINEY PARK QUEENS,QUEENS       ,8.09 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
LAGUARDIA LANDING LIGHTS,QUEENS       ,8.03 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
CITY ISLAND WETLANDS,BRONX        ,8.01 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
SARA D. ROOSEVELT PARK,MANHATTAN    ,7.85 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0,0,0,2 ,0,2 ,0,4 ,0 ,0,1 ,2 ,0,3 ,0,6 ,11 ,1 ,1,1,1
EWEN PARK,BRONX        ,7.84 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,1 ,0,0,0,0,1 ,0 ,0,0,0,0,0,0,0 ,1 ,1 ,0,1,0
HERBERT VON KING PARK,BROOKLYN     ,7.82 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
MOUNT PROSPECT PARK,BROOKLYN     ,7.79 ,ONE ACRE OR LARGER,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,1 ,1 ,1,0,0
RAINEY PARK BRONX,BRONX        ,7.74 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,1 ,1 ,0,0,0,2 ,2 ,1 ,0,0,1
DETECTIVE KEITH L WILLIAMS PARK,QUEENS       ,7.68 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,1 ,0,0,0,0,1 ,1 ,1 ,0,0,1
FLUSHING FIELDS,QUEENS       ,7.67 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
PALMER INLET,BRONX        ,7.49 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
MIDLAND FIELD,STATEN ISLAND,7.46 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
SCHMUL PARK,STATEN ISLAND,7.40 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
BRIDGE PARK BRONX,BRONX        ,7.16 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
BEACH 30TH STREET PLAYGROUND,QUEENS       ,7.12 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
BROWER PARK,BROOKLYN     ,7.05 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,2 ,0 ,2 ,0,0,0,0,0,1 ,0,1 ,0 ,0,1 ,0,0,0,0,1 ,4 ,1 ,1,1,1
JOYCE KILMER PARK,BRONX        ,6.88 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,1 ,0,0,0,0,1 ,0 ,1 ,0,2 ,0,0,0,3 ,4 ,1 ,0,1,1
MARIA HERNANDEZ PARK,BROOKLYN     ,6.87 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,1 ,1 ,0,1 ,0,3 ,0 ,0,0,0,0,1 ,0,1 ,4 ,1 ,0,1,1
THE HIGH LINE,MANHATTAN    ,6.73 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,1 ,1 ,1,0,0
FRIENDS FIELD,BROOKLYN     ,6.70 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,1 ,1 ,0,1 ,0,3 ,0 ,0,0,0,0,0,0,0 ,3 ,1 ,0,1,0
LINDOWER PARK,BROOKLYN     ,6.70 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
J. HOOD WRIGHT PARK,MANHATTAN    ,6.70 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,1 ,1 ,0 ,0,0,0,0,0,0,0 ,1 ,1 ,0,1,0
WNYC TRANSMITTER PARK,BROOKLYN     ,6.61 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
SPUYTEN DUYVIL SHOREFRONT PARK,BRONX        ,6.60 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
PARK AVENUE MALLS,MANHATTAN    ,6.59 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
WESTWOOD PARK,STATEN ISLAND,6.56 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
UNION SQUARE PARK,MANHATTAN    ,6.51 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,1 ,3 ,0 ,4 ,0,0,0,0,0,7 ,0,7 ,0 ,0,1 ,1 ,0,12 ,0,14 ,25 ,1 ,1,1,1
CONCRETE PLANT PARK,BRONX        ,6.44 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
COL. YOUNG PLAYGROUND,MANHATTAN    ,6.42 ,ONE ACRE OR LARGER,0 ,0 ,1 ,0 ,1 ,0 ,0 ,2 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,2 ,1 ,1,0,0
BRADYS POND PARK,STATEN ISLAND,6.40 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
COOPER PARK,BROOKLYN     ,6.40 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,1 ,0,0,0,1 ,1 ,1 ,0,0,1
GRAVESEND PARK,BROOKLYN     ,6.38 ,ONE ACRE OR LARGER,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,1 ,1 ,1,0,0
DR. CHARLES R. DREW PARK,QUEENS       ,6.34 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
TRINITY PARK,BROOKLYN     ,6.30 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
MADISON SQUARE PARK,MANHATTAN    ,6.23 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0,0,0,1 ,0,3 ,0,4 ,0 ,0,0,0,0,3 ,0,3 ,8 ,1 ,1,1,1
ELMHURST PARK,QUEENS       ,6.22 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
FORT HAMILTON ATHLETIC FIELD,BROOKLYN     ,6.19 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
AMBROSINI FIELD,BRONX        ,6.10 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
CLEARVIEW PARK,QUEENS       ,6.05 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
RALPH DEMARCO PARK,QUEENS       ,6.03 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
WINGATE PARK,BROOKLYN     ,5.89 ,ONE ACRE OR LARGER,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0,0,0,0,0,1 ,0,1 ,0 ,0,0,0,0,1 ,0,1 ,3 ,1 ,1,1,1
UNNAMED PARK ON DRUMGOOLE ROAD & HUGUENOT AVENUE,STATEN ISLAND,5.85 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
DE WITT CLINTON PARK,MANHATTAN    ,5.83 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
UNNAMED PARK ON BOUNDARY AVENUE,STATEN ISLAND,5.77 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
VAN VOORHEES PARK,BROOKLYN     ,5.74 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
HALLETS COVE PLAYGROUND,QUEENS       ,5.70 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
MCKINLEY PARK,BROOKLYN     ,5.66 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0,0,1 ,0,0,1 ,0,2 ,0 ,0,0,1 ,0,0,0,1 ,4 ,1 ,1,1,1
SOUTHERN FIELDS,QUEENS       ,5.59 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
DEVOE PARK,BRONX        ,5.44 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,2 ,3 ,0,0,0,5 ,0 ,0,0,1 ,0,0,0,1 ,6 ,1 ,0,1,1
ST. MICHAEL'S PLAYGROUND,QUEENS       ,5.43 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
KENNEDY PLAYGROUND,QUEENS       ,5.40 ,ONE ACRE OR LARGER,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0,0,0,0,1 ,0,0,1 ,0 ,0,0,0,0,0,0,0 ,2 ,1 ,1,1,0
MAFERA PARK,QUEENS       ,5.40 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
SEAGIRT AVE WETLANDS,QUEENS       ,5.32 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
JOHN PAUL JONES PARK,BROOKLYN     ,5.32 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
WALKER PARK,STATEN ISLAND,5.28 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
OLD PLACE CREEK PARK,STATEN ISLAND,5.23 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
HOOVER - MANTON PLAYGROUNDS,QUEENS       ,5.20 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
GEN. DOUGLAS MACARTHUR PARK,STATEN ISLAND,5.17 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
GROVER CLEVELAND PLAYGROUND,QUEENS       ,5.10 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,1 ,0,0,0,0,1 ,0 ,0,0,0,0,0,0,0 ,1 ,1 ,0,1,0
POLICE OFFICER EDWARD BYRNE PARK,QUEENS       ,4.97 ,ONE ACRE OR LARGER,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,1 ,1 ,1,0,0
CYPRESS HILLS PLAYGROUND,BROOKLYN     ,4.95 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
SETH LOW PLAYGROUND/ BEALIN SQUARE,BROOKLYN     ,4.95 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,1 ,0,0,0,1 ,1 ,1 ,0,0,1
KELLY PARK,BROOKLYN     ,4.90 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
SOCRATES SCULPTURE PARK,QUEENS       ,4.89 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
BEACH 9 PLAYGROUND,QUEENS       ,4.86 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
SOUTH BEACH WETLANDS,STATEN ISLAND,4.79 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
NAPLES PLAYGROUND,STATEN ISLAND,4.78 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
RAOUL WALLENBERG FOREST,BRONX        ,4.73 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
WEST HARLEM PIERS,MANHATTAN    ,4.71 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,1 ,0,0,0,0,1 ,0 ,0,0,0,0,0,0,0 ,1 ,1 ,0,1,0
SPORTS PARK,STATEN ISLAND,4.65 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
WASHINGTON'S WALK,BRONX        ,4.64 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
CAMBRIA PLAYGROUND,QUEENS       ,4.64 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,1 ,0,1 ,1 ,1 ,0,0,1
MARCONI PARK,QUEENS       ,4.64 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
VALENTINO PIER,BROOKLYN     ,4.53 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
GRANITEVILLE QUARRY PARK,STATEN ISLAND,4.47 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
MONTBELLIER PARK,QUEENS       ,4.43 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,1 ,0,0,0,1 ,0 ,0,0,0,0,1 ,0,1 ,2 ,1 ,0,1,1
QUARRY BALLFIELDS,BRONX        ,4.42 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,1 ,0,0,0,0,1 ,1 ,1 ,0,0,1
RICHMAN (ECHO) PARK,BRONX        ,4.39 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,1 ,0,1 ,0,0,0,2 ,0 ,0,2 ,1 ,0,1 ,0,4 ,6 ,1 ,0,1,1
